,Charity Name,Cause,Program Percentage,Cost to $100
102,Ploughshares Fund,Peace & International Relations Charities,81%,$18
103,Common Cause Education Fund,Public Policy Charities,84%,$6
104,FAIR,Public Policy Charities,81%,$2
105,Center for Reproductive Rights,"Reproductive Health, Family Planning, & Abortion Charities",75%,$12
106,National Council on Aging,Senior Citizens Charities,95%,$4
107,Armed Services YMCA of the USA,Veterans & Military Charities,81%,$14
108,Bob Woodruff Family Foundation,Veterans & Military Charities,82%,$13
109,Fisher House Foundation,Veterans & Military Charities,93%,$3
110,Gary Sinise Foundation,Veterans & Military Charities,89%,$4
111,Homes For Our Troops,Veterans & Military Charities,87%,$8
112,Hope For The Warriors,Veterans & Military Charities,84%,$11
113,Intrepid Fallen Heroes Fund,Veterans & Military Charities,79%,$6
114,Mission Continues,Veterans & Military Charities,85%,$8
115,National Military Family Association,Veterans & Military Charities,82%,$15
116,Navy-Marine Corps Relief Society,Veterans & Military Charities,86%,$9
117,Operation Homefront,Veterans & Military Charities,79%,$10
118,Semper Fi Fund,Veterans & Military Charities,91%,$3
119,Tragedy Assistance Program for Survivors (TAPS),Veterans & Military Charities,88%,$6
120,Wounded Warriors Family Support,Veterans & Military Charities,85%,$10
121,Global Fund for Women,Women's Rights Charities,79%,$11
122,CEDARS,Youth-Residential Charities,90%,$14
